date,beta1,beta2,beta3,lambda,fit_rmse,n_obs,y3m,y6m,y1y,y2y,y5y,y10y,y30y,slope_2s10s,slope_3m10y,belly_richness,curve_shape,year,month_number,month_short,period_label
2000-01-03,6.639620021049986,7.174392477429572,-13.348100754276771,0.0609,0.13099907154487286,10,5.380592592618059,5.8914957585189525,6.263642201393977,6.451630604020063,6.564424254237987,6.602022137643986,6.627087393247986,0.15039153362392277,1.2214295450259272,0.037597883405962484,Flat,2000,1,Jan,2000-01
2000-01-04,6.548664871500635,7.141278612781534,-13.12104094195812,0.0609,0.1293185736590195,10,5.332359789048283,5.8240950719603,6.184498342401806,6.3665811085772805,6.475831366331264,6.51224811891595,6.536525953972406,0.14566701033866902,1.1798883298676666,0.036416752584648826,Flat,2000,1,Jan,2000-01
2000-01-05,6.6518911333885065,8.405901051305202,-15.0,0.0609,0.13880384216915354,10,5.31938247062301,5.853026312335254,6.25031164580808,6.451100820400833,6.571575008193404,6.6117330707909545,6.6385051125226555,0.16063225039012163,1.2923506001679446,0.04015806259751109,Flat,2000,1,Jan,2000-01
2000-01-06,6.599288352215034,8.516837295265937,-15.0,0.0609,0.1257581035995547,10,5.293358171314676,5.813931892137616,6.20446488139245,6.401876047855965,6.5203234304713735,6.559805891343203,6.586127531924423,0.1579298434872376,1.266447720028527,0.03948246087179008,Flat,2000,1,Jan,2000-01
2000-01-07,6.558294722404751,8.57611176707338,-15.0,0.0609,0.12362213500710036,10,5.266565720647952,5.780155930180865,6.167081066648425,6.362687325712219,6.4800517637277055,6.519173243066228,6.54525422929191,0.15648591735400874,1.252607522418276,0.03912147933848242,Flat,2000,1,Jan,2000-01
2000-01-10,6.612151389798548,8.440348406298561,-15.0,0.0609,0.12314533081310573,10,5.287895741262711,5.817481115895077,6.212669745982157,6.412409998770422,6.532254833387265,6.572203111592906,6.598835297063334,0.15979311282248343,1.284307370330195,0.03994827820560154,Flat,2000,1,Jan,2000-01
2000-01-11,6.699002864813771,8.067085252497215,-15.0,0.0609,0.12869600360247885,10,5.28531956296974,5.8588814989992395,6.276789496611075,6.487895610752394,6.614559963189188,6.656781414001479,6.684929047876341,0.16888580324908453,1.3714618510317393,0.04222145081225115,Flat,2000,1,Jan,2000-01
2000-01-12,6.7410174263198845,7.987596170094461,-15.0,0.0609,0.12527759076570574,10,5.308289860313945,5.891216922467162,6.313963173356671,6.527489729699345,6.655606347671635,6.69831188699576,6.726782246545176,0.17082215729641526,1.390022026681815,0.04270553932408294,Flat,2000,1,Jan,2000-01
2000-01-13,6.656786899550033,8.209962895205662,-15.0,0.0609,0.11908511974885279,10,5.277334708297815,5.834063299372539,6.2432747791451355,6.450030269709129,6.574084247613638,6.615435573581835,6.643003124227301,0.16540530387270636,1.3381008652840203,0.04135132596815616,Flat,2000,1,Jan,2000-01
2000-01-14,6.701692284502359,8.033634401882734,-15.0,0.0609,0.11540849464564625,10,5.279994714330069,5.857497712773184,6.277441759647815,6.489566452039772,6.616841951517291,6.659267118009825,6.687550562338181,0.16970066597005307,1.3792724036797557,0.042425166492492394,Flat,2000,1,Jan,2000-01
2000-01-18,6.7426694308738435,8.449891260122172,-15.0,0.0609,0.12366174824470162,10,5.420700091647184,5.949161160564389,6.343768946812355,6.543218619744647,6.662889106422132,6.702779268647987,6.729372710131892,0.15956064890333987,1.2820791770008029,0.03989016222581565,Flat,2000,1,Jan,2000-01
2000-01-19,6.720069459075576,8.382569956638182,-15.0,0.0609,0.11764760724528826,10,5.381971053459937,5.9183636832768665,6.317069107934951,6.518568714255292,6.63946916114743,6.679769310111503,6.706636076087552,0.1612005958562106,1.297798256651566,0.040300148964032445,Flat,2000,1,Jan,2000-01
2000-01-20,6.762416318551777,8.157899797220697,-15.0,0.0609,0.11253518033479418,10,5.370490673573055,5.93335315705517,6.3457335557139505,6.554074367377231,6.6790795380819254,6.72074792831685,6.748526855140135,0.1666735609396195,1.350257254743795,0.04166839023488489,Flat,2000,1,Jan,2000-01
2000-01-21,6.759287077844847,7.991989649842307,-14.87267264808506,0.0609,0.11312059197632704,10,5.35601819495375,5.925491192797816,6.340254613525675,6.5497702805484375,6.67548035892625,6.717383718385548,6.745319291358414,0.1676134378371108,1.3613655234317985,0.041903359459257494,Flat,2000,1,Jan,2000-01
2000-01-24,6.676799053644976,8.744327730964924,-15.0,0.0609,0.11173440688728016,10,5.425371803471734,5.919143395526022,6.295829749332443,6.486313833052942,6.600604965408129,6.638702009526552,6.664100038938835,0.15238817647361014,1.2133302060548186,0.03809704411838233,Flat,2000,1,Jan,2000-01
2000-01-25,6.679035606851789,8.818844792982004,-15.0,0.0609,0.1090132145357378,10,5.445461407320549,5.930453659331344,6.302604391280666,6.490819430798174,6.60374913643031,6.641392371641049,6.666487861781542,0.1505729408428751,1.1959309643205005,0.03764323521069901,Flat,2000,1,Jan,2000-01
2000-01-26,6.678984635776816,8.577109520321786,-14.693313930773279,0.0609,0.10072295858448954,10,5.455914766192825,5.938228165264448,6.306508900755778,6.492746211478649,6.6044892660575165,6.641736950917167,6.6665687408236,0.14899073943851793,1.1858221847243424,0.037247684859607944,Flat,2000,1,Jan,2000-01
2000-01-27,6.680948383968918,7.094455330780902,-13.006872958465996,0.0609,0.09865935754723962,10,5.4788955114976545,5.964547899986832,6.320883138449145,6.500915267205978,6.608935137263713,6.644941760616316,6.6689461761847175,0.14402649341033769,1.1660462491186614,0.03600662335256555,Flat,2000,1,Jan,2000-01
2000-01-28,6.665448808704907,4.70577948086142,-9.976645202564706,0.0609,0.10573316410890993,10,5.567137119180769,6.026344269646237,6.344453847394785,6.504950947479098,6.601249664214561,6.633349236459734,6.654748951289849,0.12839828898063654,1.0662121172789654,0.03209957224514515,Flat,2000,1,Jan,2000-01
2000-01-31,6.696853111686461,4.188072181444881,-9.027009689732658,0.0609,0.09821654977425788,10,5.6863661562535555,6.110084947231201,6.40216250643755,6.549507464559148,6.637914852835516,6.667383982260988,6.687030068544637,0.11787651770184038,0.9810178260074327,0.02946912942544877,Flat,2000,1,Jan,2000-01
2000-02-01,6.657506619279329,2.9552146765752343,-7.681015969413396,0.0609,0.10069325992811085,10,5.6519317649693175,6.084148761997248,6.369705909554019,6.51360596991245,6.59994635953256,6.6287264894059446,6.647913242654868,0.11512051949349456,0.9767947244366271,0.02878012987336298,Flat,2000,2,Feb,2000-02
2000-02-02,6.636051764259017,1.819903134108037,-6.550344791833438,0.0609,0.13496522100441274,10,5.610722050332732,6.061821466800742,6.347968372760338,6.492009815781315,6.578434984867922,6.6072433745634696,6.626448967693834,0.11523355878215469,0.9965213242307378,0.02880838969552979,Flat,2000,2,Feb,2000-02
2000-02-03,6.526351460481392,1.6289172623842418,-5.993460417328859,0.0609,0.1491537973204308,10,5.579502747249091,5.996524083260987,6.260551244993369,6.393451121413362,6.473191324854166,6.499771392667779,6.5174914378768545,0.10632027125441734,0.9202686454186884,0.026580067813594788,Flat,2000,2,Feb,2000-02
2000-02-04,6.593250889557682,10.061988354349953,-15.0,0.0609,0.15033522287323328,10,5.657513243905781,5.996042662403031,6.292527111278014,6.442888434947721,6.533105907713665,6.563178398635673,6.5832267259170125,0.1202899636879513,0.905665154729892,0.03007249092196851,Flat,2000,2,Feb,2000-02
2000-02-07,6.689007350418901,9.868814842856759,-15.0,0.0609,0.14907491151788677,10,5.706988539218758,6.068276986304724,6.376519306158844,6.532762762383973,6.626509515204897,6.657758432811899,6.678591044549901,0.12499567042792581,0.950769893593141,0.03124891760696169,Flat,2000,2,Feb,2000-02
2000-02-08,6.636279888730766,7.261126818362226,-12.04214573307474,0.0609,0.17880211858347997,10,5.689384426609765,6.057384020950307,6.3451167484311615,6.490697862777837,6.5780470783495675,6.607163483540167,6.6265744203339,0.11646562076233025,0.9177790569304021,0.029116405190565686,Flat,2000,2,Feb,2000-02
2000-02-09,6.676101550970229,9.668947650593422,-15.0,0.0609,0.16329135604007977,10,5.646197879463406,6.031033981233015,6.351441595601011,6.513771006930882,6.611169333354457,6.643635442162342,6.665279514700933,0.12986443523146018,0.997437562698936,0.03246610880784573,Flat,2000,2,Feb,2000-02
2000-02-10,6.70852192555075,2.419966546583701,-7.532980699954191,0.0609,0.16386624546266118,10,5.607736415915097,6.087974117420742,6.397139943420106,6.552830644580661,6.646245413162697,6.677383669356724,6.6981425068194085,0.12455302477606267,1.0696472534416266,0.03113825619400501,Flat,2000,2,Feb,2000-02
2000-02-11,6.668792254066763,1.7192452153920603,-6.6052286036830425,0.0609,0.17086391672802784,10,5.607102277755215,6.075637045778885,6.371236375933482,6.520014059893339,6.609280976397378,6.6390366152320714,6.6588737077885325,0.11902255533873252,1.0319343374768568,0.029755638834672915,Flat,2000,2,Feb,2000-02
2000-02-14,6.618076954914729,6.584743393770954,-11.276948546992674,0.0609,0.16509068963681,10,5.679842818723259,6.049787626917117,6.332322515731213,6.47519930799919,6.560925896148489,6.5895014255316084,6.6085517784536885,0.11430211753241881,0.9096586068083496,0.028575529383089382,Flat,2000,2,Feb,2000-02
2000-02-15,6.632904026777227,1.3257650990300465,-5.591211377756557,0.0609,0.16912808238725785,10,5.703164784282011,6.115034007495842,6.37313878087291,6.503021187590036,6.580950891102337,6.606927458939782,6.624245170831411,0.10390627134974562,0.9037626746577709,0.025976567837427744,Flat,2000,2,Feb,2000-02
2000-02-16,6.635642096830071,1.3438953699500065,-5.7096484434886365,0.0609,0.16226077088799143,10,5.683823865046029,6.105590231171758,6.3697681763273915,6.502704915740852,6.58246722439437,6.609054660612221,6.626779618090787,0.10634974487136972,0.9252307955661925,0.02658743621783355,Flat,2000,2,Feb,2000-02
2000-02-17,6.657658215681022,9.126256751542385,-13.917601670804256,0.0609,0.17778410452026167,10,5.739212325195679,6.078014865707257,6.365866360373616,6.5117617628895745,6.599299634564412,6.628478925122717,6.6479317854949205,0.11671716223314288,0.8892665999270388,0.029179290558266402,Flat,2000,2,Feb,2000-02
2000-02-18,6.591256803478341,5.642291206558682,-9.834789524098957,0.0609,0.18594786166319968,10,5.748965045249555,6.083423138697595,6.335934401742467,6.463595229709295,6.5401921739707,6.565724488724521,6.582746031893734,0.10212925901522585,0.8167594434749654,0.025532314753792917,Flat,2000,2,Feb,2000-02
2000-02-22,6.482442547702539,3.2198095744238375,-6.431850773531597,0.0609,0.17620332253389495,10,5.818942577233544,6.093070930689027,6.2868297285404005,6.384635893189744,6.443319885897407,6.462881216799973,6.47592210406835,0.07824532361022918,0.6439386395664286,0.019561330902548413,Flat,2000,2,Feb,2000-02
2000-02-23,6.546675505665721,6.413130163331843,-10.149148322362844,0.0609,0.17222770528399503,10,5.818932127554952,6.094511473557424,6.319152766763845,6.432913752723283,6.501170804488724,6.523923155077223,6.5390913888028885,0.09100940235394006,0.7049910275222713,0.022752350588470804,Flat,2000,2,Feb,2000-02
2000-02-24,6.475893839362682,5.161845693108423,-8.531708933824985,0.0609,0.14547818901585055,10,5.809205902045623,6.0678756156138185,6.27066981378626,6.373281503682909,6.434848905090753,6.455371372226717,6.469053016984027,0.08208986854380829,0.6461654701810948,0.020522467135940303,Flat,2000,2,Feb,2000-02
2000-02-25,6.46736014080158,9.843773693147284,-13.609172225335632,0.0609,0.12225799827908858,10,5.7896284199135035,6.012559234413542,6.238048393051477,6.35270375549652,6.421497586679527,6.444428863740553,6.459716381781238,0.09172510824403268,0.6548004438270496,0.022931277060989963,Flat,2000,2,Feb,2000-02
2000-02-28,6.475927076969801,6.665838256847573,-10.190405791542274,0.0609,0.1285946430177363,10,5.799524032142177,6.0495219456722795,6.261281683187699,6.368603995538403,6.432997844397219,6.4544624606835095,6.46877220487437,0.08585846514510642,0.6549384285413327,0.02146461628626284,Flat,2000,2,Feb,2000-02
2000-02-29,6.517856290914682,7.3713730951371215,-11.225904740715135,0.0609,0.15345783574359048,10,5.779473179581247,6.051553980097449,6.283116160803125,6.400485802306894,6.470908095471541,6.494382193193111,6.510031591674158,0.0938963908862176,0.7149090136118641,0.023474097721539522,Flat,2000,2,Feb,2000-02
2000-03-01,6.501179692197404,6.667949564392489,-10.484478723810735,0.0609,0.14333336995247506,10,5.759676320615353,6.03930325309639,6.268753858520023,6.384966379293177,6.454694367035689,6.477937029616546,6.493432138003785,0.0929706503233696,0.7182607090011937,0.0232426625808273,Flat,2000,3,Mar,2000-03
2000-03-02,6.502273358906292,4.506415771548111,-8.16875228899172,0.0609,0.148956718876844,10,5.759529059842128,6.058542897393577,6.279237685266085,6.39075521195018,6.457666100123829,6.4799697295150605,6.494838815775882,0.08921451756488086,0.7204406696729322,0.022303629391208446,Flat,2000,3,Mar,2000-03
2000-03-03,6.483362259004368,7.520410434577523,-11.185624282474931,0.0609,0.1532277075492792,10,5.789672382686609,6.040101635769201,6.260151578942073,6.371756497335954,6.438719954336977,6.461041106670673,6.475921874893136,0.08928460933471882,0.671368723984064,0.02232115233366372,Flat,2000,3,Mar,2000-03
2000-03-06,6.521903881238468,6.086225530918467,-9.549463641798484,0.0609,0.15648068167994636,10,5.849626154285254,6.102792388926982,6.310993401715904,6.416448280762224,6.4797216410479495,6.500812761143209,6.514873507873381,0.08436448038098465,0.651186606857955,0.02109112009523262,Flat,2000,3,Mar,2000-03
2000-03-07,6.489146899854076,6.133242932825271,-9.541624738094274,0.0609,0.14059451511639948,10,5.829882580794827,6.076712957881011,6.281577168516888,6.385361673883687,6.447632809465899,6.468389854659987,6.4822278847893795,0.08302818077630025,0.6385072738651605,0.02075704519406152,Flat,2000,3,Mar,2000-03
2000-03-08,6.488209248523588,4.209942872722551,-7.4716728525459795,0.0609,0.13713123500608226,10,5.82994980850848,6.093069881514383,6.289570459697121,6.388889570638006,6.448481377369339,6.468345312946464,6.481587936664547,0.07945574230845764,0.6383955044379839,0.019863935577103753,Flat,2000,3,Mar,2000-03
2000-03-09,6.469671389051134,5.9310700819723525,-9.28182079006382,0.0609,0.13462951873655468,10,5.819930738761021,6.064184373002604,6.265611372069446,6.367641029989801,6.4288592454265805,6.449265317238858,6.4628693651137095,0.08162428724905713,0.6293345784778372,0.020406071812250737,Flat,2000,3,Mar,2000-03
2000-03-10,6.516618613414077,4.679634916549094,-7.924910239826178,0.0609,0.14070555696664636,10,5.869774653967174,6.123606101071681,6.31898194659788,6.417799979820334,6.4770911599765615,6.49685488669532,6.510030704507824,0.07905490687498595,0.6270802327281455,0.019763726718734276,Flat,2000,3,Mar,2000-03
2000-03-13,6.482783118234769,2.068304464312517,-4.879156848184963,0.0609,0.1339968976152517,10,5.889799685985095,6.141840880567857,6.311602581348474,6.39719266314588,6.448546936199202,6.4656650272169855,6.477077087895508,0.06847236407110557,0.5758653412318901,0.017118091017769288,Flat,2000,3,Mar,2000-03
2000-03-14,6.426781443169456,-2.1527635377218863,-0.185488942591347,0.0609,0.13455922216509883,10,5.8696334174292595,6.142110149048924,6.284381891353988,6.355581655143919,6.398301527959241,6.412541485564349,6.42203479063442,0.05695983042043018,0.5429080681350893,0.0142399576051071,Flat,2000,3,Mar,2000-03
2000-03-15,6.403797554873637,-6.492977189125252,4.487695269058985,0.0609,0.1419857843132642,10,5.849369809640856,6.1584005428997,6.281675563263841,6.342736720407595,6.37937322108723,6.391585387980434,6.399726832575902,0.048848667572838345,0.5422155783395777,0.012212166893215581,Flat,2000,3,Mar,2000-03
2000-03-16,6.380121378310305,-6.048220835480572,4.20535705835682,0.0609,0.142730644041175,10,5.869261665000394,6.15457827758253,6.267890671743398,6.324006176296864,6.3576752975049375,6.368898337907621,6.376380364842744,0.04489216161075671,0.4996366729072266,0.011223040402694728,Flat,2000,3,Mar,2000-03
2000-03-17,6.342545020107895,-10.192002805836028,8.912775121716784,0.0609,0.15091093155763544,10,5.889104752683375,6.184354317954474,6.264639401122917,6.303592537126416,6.326964026915323,6.334754523511609,6.339948187909133,0.031161986385193075,0.44564977082823454,0.007790496596309815,Flat,2000,3,Mar,2000-03
2000-03-20,6.3338274877432035,-12.630417204384967,11.838700680080073,0.0609,0.15907076533598688,10,5.948942588335387,6.234204025335842,6.285611079929082,6.309719719578055,6.3241843804771705,6.329005934110187,6.332220303198865,0.01928621453213175,0.3800633457747997,0.004821553633049369,Flat,2000,3,Mar,2000-03
2000-03-21,6.306226565687037,-13.332414039383771,12.536141350010958,0.0609,0.16170975286001646,10,5.9087503136161095,6.205858698929042,6.257732635890039,6.281980062295567,6.296527964330476,6.301377265008757,6.3046101321276105,0.0193972027131899,0.39262695139264725,0.00484930067831435,Flat,2000,3,Mar,2000-03
2000-03-22,6.308959302838323,-10.673640741872122,9.668709232930043,0.0609,0.1603904591254156,10,5.908771602058797,6.183963274764206,6.24775826381268,6.278359138390984,6.296719237059408,6.302839269948866,6.306919291875171,0.024480131557881535,0.3940676678900683,0.006120032889483262,Flat,2000,3,Mar,2000-03
2000-03-23,6.277476678715081,-15.0,14.440163383325638,0.0609,0.17477884706339883,10,5.905252059678494,6.205381246740308,6.243381563946918,6.260429653737267,6.270657868723987,6.274067273719534,6.276340210383232,0.013637619982266536,0.3688152140410397,0.00340940499558684,Flat,2000,3,Mar,2000-03
2000-03-24,6.394714789724036,-15.0,13.984730156308569,0.0609,0.18637845948536635,10,5.920885356610099,6.267286491262045,6.332883827143579,6.363799822983555,6.382348803027875,6.388531796375955,6.392653791941342,0.02473197339239963,0.46764643976585596,0.006182993348120114,Flat,2000,3,Mar,2000-03
2000-03-27,6.415902576278907,-7.307085116443478,5.732856011355407,0.0609,0.19591330181126815,10,5.944217057697415,6.2226549994466005,6.320031607125928,6.367967300028945,6.396728465778935,6.406315521028921,6.412706891195578,0.0383482209999757,0.4620984633315057,0.009587055250001697,Flat,2000,3,Mar,2000-03
2000-03-28,6.382101469560608,-7.320951359365645,5.894073802302432,0.0609,0.18423031479622798,10,5.9430606906642245,6.206752601343709,6.295204197102779,6.338653047948001,6.364722100915578,6.373411785238092,6.379204908119769,0.03475873729009127,0.4303510945738678,0.008689684322530589,Flat,2000,3,Mar,2000-03
2000-03-29,6.380448340096017,-7.434707747988905,6.0642111974597235,0.0609,0.1754468260915955,10,5.952110198625862,6.211918555948849,6.296984658106753,6.33871672013237,6.363755692110572,6.372102016103294,6.377666232098442,0.03338529597092332,0.419991817477432,0.008346323992739713,Flat,2000,3,Mar,2000-03
2000-03-30,6.262344546940161,-14.224748910624138,13.723509504814436,0.0609,0.17788670300137974,10,5.915975415302963,6.197579152706878,6.231818055020767,6.24708180703318,6.256239450977399,6.259291998958781,6.261327030946368,0.012210191925600355,0.34331658365581763,0.0030525479814187406,Flat,2000,3,Mar,2000-03
2000-03-31,6.228698020320822,-15.0,14.763300322095168,0.0609,0.1830776676721944,10,5.928563592859063,6.195862115383925,6.2142819197847645,6.221490515128539,6.225815018243941,6.227256519282381,6.228217519974675,0.005766004153842097,0.29869292642331846,0.0014415010384807303,Flat,2000,3,Mar,2000-03
2000-04-03,6.203088683376721,-15.0,14.878174968927263,0.0609,0.17205335031570493,10,5.928582199686264,6.184209475314047,6.19566843982478,6.199379111180474,6.201604854498255,6.202346768937487,6.202841378563643,0.0029676577570132423,0.27376456925122294,0.0007419144392741828,Flat,2000,4,Apr,2000-04
2000-04-04,6.101086831869108,-14.89993280396946,15.0,0.0609,0.1597599874293887,10,5.877733325451025,6.109193628569431,6.107179814944341,6.104133877988156,6.10230565031676,6.1016962410929345,6.10128996827705,-0.0024376368952214733,0.22396291564190918,-0.0006094092237853843,Inverted,2000,4,Apr,2000-04
2000-04-05,6.111678597212757,-14.832448669148807,15.0,0.0609,0.15179461647385536,10,5.90449316886797,6.12800272686715,6.121881363794796,6.116780535237093,6.1137193724225245,6.112698984817641,6.112018726414385,-0.004081550419452462,0.2082058159496709,-0.0010203876048429095,Inverted,2000,4,Apr,2000-04
2000-04-06,6.126886969410903,-14.856381212500358,15.0,0.0609,0.16035410013830542,10,5.913967701098711,6.140296907786412,6.135632244210562,6.131260161490185,6.128636246242649,6.127761607826776,6.127178515549527,-0.0034985536634088987,0.21379390672806498,-0.0008746384158317966,Inverted,2000,4,Apr,2000-04
2000-04-07,6.080397157549741,-14.510073622794247,15.0,0.0609,0.18609168553471994,10,5.950447437007905,6.13597589273504,6.110232563003643,6.095315415735573,6.0863644608241065,6.083380809186925,6.0813917080954685,-0.011934606548648752,0.13293337217901957,-0.002983651637141982,Inverted,2000,4,Apr,2000-04
2000-04-10,6.036301722925672,-14.468582975139974,15.0,0.0609,0.1747114165422064,10,5.916292472575366,6.096932645075526,6.068663908634954,6.052483371332578,6.042774382288467,6.03953805260707,6.037380499486138,-0.012945318725507526,0.12324558003170427,-0.0032363296813571196,Inverted,2000,4,Apr,2000-04
