date,regime,actual_y1y,q10,q50,q74,interval_width,actual_in_band
2023-04-10,Easing,4.96829299446442,3.5140841560706875,4.8278204739435315,5.317037991947357,1.8029538358766697,1
2023-04-11,Easing,4.9555977454664735,3.5125430796502615,4.827025011718319,5.317126454648484,1.8045833749982227,1
2023-04-12,Easing,4.9130046803294505,3.511127325389766,4.826412091574796,5.316976032952322,1.8058487075625562,1
2023-04-13,Easing,4.981485628005107,3.5104169909622644,4.825960650965078,5.317160681288801,1.8067436903265364,1
2023-04-14,Easing,5.008914129918197,3.5094191527561005,4.825508332749196,5.3169802454619,1.8075610927057992,1
2023-04-17,Easing,4.965574405033935,3.5080646554057107,4.825101474532505,5.315955025943482,1.8078903705377711,1
2023-04-18,Easing,5.001545302682689,3.506969666197416,4.824849250521554,5.314259315317317,1.8072896491199009,1
2023-04-19,Easing,4.988113825237199,3.506857771411765,4.824838894768842,5.312768789011821,1.8059110176000566,1
2023-04-20,Easing,4.983776234468422,3.506913148360585,4.824992475847187,5.31125298764886,1.804339839288275,1
2023-04-21,Easing,4.964113238680568,3.5079424048673475,4.825321929200393,5.310605314301323,1.802662909433976,1
2023-04-24,Easing,4.989634807896876,3.5084439567889154,4.825575030817506,5.309865667828012,1.8014217110390964,1
2023-04-25,Easing,5.03147422839251,3.5095104237969457,4.8257717901190205,5.309768955628963,1.800258531832017,1
2023-04-26,Easing,5.014792161370737,3.5112226334189565,4.825983293204056,5.311234733440691,1.8000121000217346,1
2023-04-27,Easing,4.9998860049619775,3.5113128513324074,4.825859024171521,5.312350170872559,1.8010373195401517,1
2023-04-28,Easing,5.045561487183012,3.5101150944425457,4.82560609807564,5.312232571646855,1.8021174772043094,1
2023-05-01,Easing,4.998028994127319,3.510156166410926,4.825531501551872,5.312638201214919,1.802482034803993,1
2023-05-02,Easing,4.953999471892155,3.5090443271643217,4.825278926498456,5.31174550022696,1.8027011730626379,1
2023-05-03,Easing,4.908950539135341,3.5100092551394115,4.825236801402681,5.31240809287925,1.8023988377398381,1
2023-05-04,Easing,4.9065479640407,3.5105054536633915,4.824985806040356,5.313648852471047,1.8031433988076557,1
2023-05-05,Easing,4.894503531390725,3.5105375740489198,4.824558938403173,5.315405468964855,1.804867894915935,1
2023-05-08,Easing,4.909258700141711,3.5089473516834238,4.8239683094561645,5.3160201443207,1.8070727926372765,1
2023-05-09,Easing,4.8883748813934265,3.507283585921554,4.823479482823945,5.315741416603657,1.8084578306821033,1
2023-05-10,Easing,4.929548631044229,3.5063176048190696,4.823200404064438,5.31524170765503,1.8089241028359604,1
2023-05-11,Easing,4.916576256392249,3.5065639488687355,4.82308333140243,5.315673489886721,1.8091095410179854,1
2023-05-12,Easing,4.891178229508091,3.5064878604144925,4.822887274185845,5.316332221071898,1.8098443606574053,1
2023-05-15,Easing,4.823900167327004,3.505555579388628,4.822604509480458,5.316266225088517,1.8107106456998894,1
2023-05-16,Easing,4.8504931792800665,3.5047880250393657,4.822451630487041,5.315853048107461,1.8110650230680951,1
2023-05-17,Easing,4.877809064475335,3.5040648775619,4.822397394426232,5.314830636928761,1.810765759366861,1
2023-05-18,Easing,4.888858932328639,3.5037729857524273,4.822464092494542,5.313490356798195,1.809717371045768,1
2023-05-19,Easing,4.8729938470303,3.5033967559907895,4.822598717279789,5.3114063932059725,1.808009637215183,1
2023-05-22,Easing,4.88837544251703,3.503557094636582,4.822986092639684,5.309143046914243,1.805585952277661,1
2023-05-23,Easing,4.926447579160584,3.504466470141619,4.823390318037889,5.307007655600929,1.8025411854593099,1
2023-05-24,Easing,4.925770314320881,3.5056523793482937,4.823950932854157,5.305364250302017,1.7997118709537236,1
2023-05-25,Easing,4.962098021262298,3.506695765314264,4.824458540258243,5.303778591488563,1.7970828261742993,1
2023-05-26,Easing,4.993119280397126,3.506891383727768,4.824862063571519,5.301437138248418,1.7945457545206498,1
2023-05-30,Easing,4.963325741842224,3.5079138826670837,4.82544848000895,5.299493942684576,1.791580060017492,1
2023-05-31,Easing,4.935553671334984,3.510149935407176,4.825936253513774,5.2986389787615815,1.7884890433544056,1
