regime_label,n_obs,n_consecutive_pairs,kappa,theta,eta,half_life,se_kappa,se_theta,alpha,residual_var,log_likelihood,beta2_current,date_last,expected_beta2_1y,expected_reversion_bps,forecast_var_1y,forecast_std_1y
Tightening,3044,3044,35.39243883561506,8.43069417251058,25.305917188055034,0.019584611950008886,0.047379137849469594,0.20589512630780826,0.868970426574548,2.215518780095475,-5529.979482477389,10.773612952058864,2026-04-16,8.430694172510583,-234.29187795482812,9.046981019068424,3.007819977835845
Easing,1153,1153,41.63938164291316,-8.868034077347682,35.955729077715,0.01664643309317529,0.14003728371385926,0.40415012760012037,0.8476939287330066,4.368669384641212,-2486.0614391041945,2.303671984089352,2024-09-23,-8.868034077347682,-1117.1706061437033,15.523939147281636,3.940043038760064
Neutral,2346,2346,2.5971433429764765,1.1693971436252373,5.233584201249593,0.266888303425547,0.015445902011707804,0.660452341318678,0.9897468017458289,0.10757954074728328,-713.5972189524532,4.3237905852252085,2022-05-11,1.404355469204468,-291.94351160207407,5.24392251614578,2.2899612477388738
