date,cusip,purchase_price,face_value,maturity_date,days_to_maturity,tau_remaining,current_yield,purchase_yield_pct,rate_change_bps,implied_price,unrealised_pnl,modified_duration,dv01,year,month_number,month_short,period_label
2000-01-03,912797UE5,96.439575,100.0,2027-04-17,9966,27.28542094455852,0.06263642201393976,3.6253539569941333,263.8288244399843,18.103567981174425,-78.33600701882558,27.28542094455852,0.04939634729647757,2000,1,Jan,2000-01
2000-01-04,912797UE5,96.439575,100.0,2027-04-17,9965,27.28268309377139,0.06184498342401806,3.6253539569941333,255.91443854076732,18.501893945765637,-77.93768105423436,27.28268309377139,0.05047813091568914,2000,1,Jan,2000-01
2000-01-05,912797UE5,96.439575,100.0,2027-04-17,9964,27.279945242984258,0.06250311645808079,3.6253539569941333,262.4957688813946,18.175755515487417,-78.2638194845126,27.279945242984258,0.04958336152123659,2000,1,Jan,2000-01
2000-01-06,912797UE5,96.439575,100.0,2027-04-17,9963,27.277207392197127,0.062044648813924505,3.6253539569941333,257.91109243983175,18.407633315952936,-78.03194168404707,27.277207392197127,0.05021088315587655,2000,1,Jan,2000-01
2000-01-07,912797UE5,96.439575,100.0,2027-04-17,9962,27.274469541409992,0.06167081066648425,3.6253539569941333,254.1727109654292,18.599441230017668,-77.84013376998234,27.274469541409992,0.05072898933153621,2000,1,Jan,2000-01
2000-01-10,912797UE5,96.439575,100.0,2027-04-17,9959,27.266255989048595,0.06212669745982157,3.6253539569941333,258.7315788988024,18.378982371075374,-78.06059262892464,27.266255989048595,0.050112603814795244,2000,1,Jan,2000-01
2000-01-11,912797UE5,96.439575,100.0,2027-04-17,9958,27.263518138261464,0.06276789496611075,3.6253539569941333,265.1435539616942,18.063558081779846,-78.37601691822016,27.263518138261464,0.049247614340414435,2000,1,Jan,2000-01
2000-01-12,912797UE5,96.439575,100.0,2027-04-17,9957,27.260780287474333,0.06313963173356671,3.6253539569941333,268.86092163625375,17.884502538438976,-78.55507246156102,27.260780287474333,0.04875454942511619,2000,1,Jan,2000-01
2000-01-13,912797UE5,96.439575,100.0,2027-04-17,9956,27.2580424366872,0.06243274779145135,3.6253539569941333,261.7920822151002,18.235599448808617,-78.20397555119139,27.2580424366872,0.049706674363405506,2000,1,Jan,2000-01
2000-01-14,912797UE5,96.439575,100.0,2027-04-17,9955,27.255304585900067,0.06277441759647816,3.6253539569941333,265.20878026536826,18.06966046047155,-78.36991453952845,27.255304585900067,0.049249409961394736,2000,1,Jan,2000-01
2000-01-18,912797UE5,96.439575,100.0,2027-04-17,9951,27.24435318275154,0.06343768946812355,3.6253539569941333,271.84149898182216,17.758270818857916,-78.68130418114208,27.24435318275154,0.04838126021039155,2000,1,Jan,2000-01
