regime_label,n_obs,beta2_mean,beta2_std,avg_episode_days
Easing,1161,-8.920304742833801,3.895730082979129,145.125
Neutral,2354,1.1912640178892773,2.3095158001169587,294.25
Tightening,3060,8.438555892709076,3.0024017156610134,180.0
